Year,State,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1991,MI,14253,56996,69033,67796,66674,71057,73840,81154,76742,70082,52910,43450,38564,39757,36483,29257,21898,13552,10895
1991,MN,6345,26897,34575,32692,28929,31141,36388,40655,37006,32770,23941,19685,17051,16954,15796,13502,11053,7593,6973
1991,MO,7382,29537,37412,36935,34811,36397,40050,43695,39854,36444,28350,24292,22337,22549,21466,17713,14286,9909,8219
1991,MS,3906,15339,20047,21184,21247,20759,18974,20127,19044,17401,13187,11655,10610,10595,9661,8060,6338,4290,3178
1991,MT,1026,4630,6366,6386,5675,4755,5089,6460,6839,6235,4497,3744,3295,3367,3114,2806,2138,1360,1044
1991,NC,9747,37753,44104,44161,46852,57531,56683,58146,54355,50762,38862,32317,29571,29028,27231,21553,15920,9714,7196
1991,ND,768,3597,4929,4803,4421,4806,4611,5141,5017,4231,3017,2567,2527,2619,2420,2192,1872,1320,1123
1991,NE,2188,9411,12376,12025,11015,10878,11784,13158,12515,11231,8099,6834,6475,6670,6260,5329,4352,3157,2901
1991,NH,1581,6790,8115,7386,6993,8099,9064,10582,9859,9005,6485,4916,4346,4302,3969,3262,2486,1656,1374
1991,NJ,11751,44624,50164,48930,49141,54614,65257,70831,64086,59862,47209,38328,34333,35894,33300,27707,20470,12813,9702
1991,NM,2601,10266,13062,12632,11450,10555,11931,13333,12421,11294,8150,6819,6094,5986,5463,4309,3225,1962,1419
1991,NV,2122,7992,9181,8347,7672,8947,11696,12241,10901,9966,7778,6613,5716,5546,5254,3882,2477,1260,808
1991,NY,28182,104943,118864,115737,117403,140365,154158,159606,144527,135114,104284,88141,78977,81450,73597,59926,46130,30429,24780
1991,OH,15786,62838,78329,77727,75959,80557,83912,92999,87566,81356,60345,52474,47391,49114,45954,37068,27567,17401,14121
1991,OK,4395,18050,23965,23618,22638,22586,23284,25875,24255,22155,17330,14830,13747,13438,12890,10465,8272,5772,4573
1991,OR,4048,16573,21166,21104,19108,19341,20793,24214,25643,24226,17362,13571,11521,11874,12109,10354,8082,5101,3992
1991,PA,16120,64772,79172,77032,77550,88181,88476,98975,94803,87386,66315,56631,53546,59597,57943,49019,37059,23130,17618
1991,RI,1433,5532,6371,6038,6371,8953,8283,8757,8076,7259,5462,4365,4062,4570,4577,3907,2995,1970,1606
1991,SC,5445,21050,25335,25799,26589,29446,29196,29914,28362,26441,20041,16574,15034,14516,13854,10943,7668,4553,3140
1991,SD,960,4255,5678,5656,4940,4685,4904,5489,5314,4564,3284,2840,2785,2962,2828,2446,1998,1371,1286
1991,TN,7014,27080,33305,34412,35008,37698,39729,41410,39567,37562,28931,24516,22027,21289,19796,15989,12253,8082,5993
1991,TX,30320,114042,140325,134926,128903,134395,149928,158909,141594,123672,91648,73788,65227,62381,56898,44151,33475,21999,16914
1991,UT,3476,13538,17664,18907,15856,14526,13904,14085,12987,10967,7911,6364,5548,5296,4896,4072,3040,1916,1422
1991,VA,9156,36227,42822,41086,41491,51457,56069,57457,52863,49485,37754,29993,25418,24307,22389,17752,12638,7885,5985
1991,VT,762,3307,4175,3906,3803,4541,4177,4868,4974,4609,3340,2551,2236,2247,2034,1680,1293,882,762
1991,WA,7730,30541,38110,36033,32332,35213,40365,45532,44386,40458,29580,22734,19172,18916,18248,15408,11522,7310,5775
1991,WI,6760,28873,37799,36739,33690,36408,38539,42451,39993,36041,26516,22201,20104,20834,19315,16393,13380,8873,7575
1991,WV,2085,8310,11269,13116,13642,12626,11552,13567,14179,13837,10151,9070,8389,8976,8528,6898,5318,3404,2538
1991,WY,615,2704,3895,3981,3482,2805,2959,3957,4131,3571,2507,2038,1730,1731,1528,1208,900,578,432
1992,AK,1033,4475,5354,4771,4012,3745,4882,6222,6204,5183,3684,2500,1767,1338,961,649,365,187,110
